Player_id,NAME,Player_position,TEAM, SALARY 
334,Jalen Brunson, PG,Dallas Mavericks," $1,802,057.00 "
335,Didi Louzada, SF,Portland Trail Blazers," $1,786,878.00 "
336,Cody Martin, SF,Charlotte Hornets," $1,782,621.00 "
337,Daniel Gafford, C,Washington Wizards," $1,782,621.00 "
338,Luguentz Dort, G,Oklahoma City Thunder," $1,782,621.00 "
339,KZ Okpala, SF,Miami Heat," $1,782,621.00 "
340,Jalen McDaniels, PF,Charlotte Hornets," $1,782,621.00 "
341,Isaiah Roby, F,Oklahoma City Thunder," $1,782,621.00 "
342,Nic Claxton, C,Brooklyn Nets," $1,782,621.00 "
343,Naz Reid, C,Minnesota Timberwolves," $1,782,621.00 "
344,Jaylen Nowell, SG,Minnesota Timberwolves," $1,782,621.00 "
345,Eric Paschall, F,Utah Jazz," $1,782,621.00 "
346,Mychal Mulder, G,Miami Heat," $1,782,621.00 "
347,Caleb Martin, SF,Miami Heat," $1,782,621.00 "
348,Terance Mann, SG,LA Clippers," $1,782,621.00 "
349,Yogi Ferrell, PG,LA Clippers," $1,782,621.00 "
350,Kevin Porter Jr., SG,Houston Rockets," $1,782,621.00 "
351,Alen Smailagic, PF,Golden State Warriors," $1,782,621.00 "
352,Carsen Edwards, PG,Detroit Pistons," $1,782,621.00 "
353,Vlatko Cancar, SF,Denver Nuggets," $1,782,621.00 "
354,Dean Wade, PF,Cleveland Cavaliers," $1,782,621.00 "
355,Miye Oni, SG,Utah Jazz," $1,782,621.00 "
356,Bruno Fernando, PF,Houston Rockets," $1,782,621.00 "
357,Chimezie Metu, PF,Sacramento Kings," $1,762,796.00 "
358,Drew Eubanks, PF,Portland Trail Blazers," $1,762,796.00 "
359,Yuta Watanabe, SF,Toronto Raptors," $1,762,796.00 "
360,Khyri Thomas, SG,Houston Rockets," $1,762,796.00 "
361,Svi Mykhailiuk, SG,Toronto Raptors," $1,729,217.00 "
362,Keita Bates-Diop, SF,San Antonio Spurs," $1,729,217.00 "
363,Moritz Wagner, C,Orlando Magic," $1,729,217.00 "
364,Juan Toscano-Anderson, SF,Golden State Warriors," $1,701,593.00 "
365,Paul Watson, SG,Oklahoma City Thunder," $1,701,593.00 "
366,Charlie Brown Jr., G,Philadelphia 76ers," $1,701,593.00 "
367,Oshae Brissett, SF,Indiana Pacers," $1,701,593.00 "
368,Tyler Cook, F,Chicago Bulls," $1,701,593.00 "
369,Kelan Martin, SG,Boston Celtics," $1,701,593.00 "
370,Mfiondu Kabengele, C,Boston Celtics," $1,701,593.00 "
371,Herbert Jones, SF,New Orleans Pelicans," $1,700,000.00 "
372,Isaac Bonga, G,Toronto Raptors," $1,669,178.00 "
373,Sam Dekker, F,Toronto Raptors," $1,669,178.00 "
374,Otto Porter Jr., SF,Golden State Warriors," $1,669,178.00 "
375,Jarrell Brantley, PF,Utah Jazz," $1,669,178.00 "
376,Hassan Whiteside, C,Utah Jazz," $1,669,178.00 "
377,Malik Monk, SG,Los Angeles Lakers," $1,669,178.00 "
378,Kent Bazemore, SF,Los Angeles Lakers," $1,669,178.00 "
379,Ben McLemore, SG,Portland Trail Blazers," $1,669,178.00 "
380,Timothe Luwawu-Cabarrot, SG,Atlanta Hawks," $1,669,178.00 "
381,Elfrid Payton, PG,Phoenix Suns," $1,669,178.00 "
382,Dewayne Dedmon, C,Miami Heat," $1,669,178.00 "
383,Paul Millsap, PF,Philadelphia 76ers," $1,669,178.00 "
384,E'Twaun Moore, G,Orlando Magic," $1,669,178.00 "
385,Isaiah Hartenstein, C,LA Clippers," $1,669,178.00 "
386,Solomon Hill, SF,Atlanta Hawks," $1,669,178.00 "
387,LaMarcus Aldridge, C,Brooklyn Nets," $1,669,178.00 "
388,Austin Rivers, SG,Denver Nuggets," $1,669,178.00 "
389,Thanasis Antetokounmpo, SF,Milwaukee Bucks," $1,669,178.00 "
390,Max Strus, SG,Miami Heat," $1,669,178.00 "
391,Gabe Vincent, PG,Miami Heat," $1,669,178.00 "
392,Victor Oladipo, SG,Miami Heat," $1,669,178.00 "
393,Udonis Haslem, PF,Miami Heat," $1,669,178.00 "
394,Avery Bradley, PG,Los Angeles Lakers," $1,669,178.00 "
395,Wayne Ellington, SG,Los Angeles Lakers," $1,669,178.00 "
396,Trevor Ariza, SF,Los Angeles Lakers," $1,669,178.00 "
397,Dwight Howard, C,Los Angeles Lakers," $1,669,178.00 "
398,Carmelo Anthony, PF,Los Angeles Lakers," $1,669,178.00 "
399,Semi Ojeleye, PF,LA Clippers," $1,669,178.00 "
400,Rodney Hood, SG,LA Clippers," $1,669,178.00 "
401,James Johnson, PF,Brooklyn Nets," $1,669,178.00 "
402,Frank Kaminsky, PF,Phoenix Suns," $1,669,178.00 "
403,Gary Payton II, SG,Golden State Warriors," $1,669,178.00 "
404,Nemanja Bjelica, PF,Golden State Warriors," $1,669,178.00 "
405,Andre Iguodala, F,Golden State Warriors," $1,669,178.00 "
406,Rodney McGruder, G,Detroit Pistons," $1,669,178.00 "
407,Frank Ntilikina, PG,Dallas Mavericks," $1,669,178.00 "
408,Markieff Morris, PF,Miami Heat," $1,669,178.00 "
409,Raul Neto, PG,Washington Wizards," $1,669,178.00 "
410,Kevin Pangos, G,Cleveland Cavaliers," $1,669,178.00 "
411,Ed Davis, C,Cleveland Cavaliers," $1,669,178.00 "
412,Rajon Rondo, PG,Cleveland Cavaliers," $1,669,178.00 "
413,Tony Bradley, C,Chicago Bulls," $1,669,178.00 "
414,Matt Thomas, SG,Chicago Bulls," $1,669,178.00 "
415,Javonte Green, SF,Chicago Bulls," $1,669,178.00 "
416,Andre Drummond, C,Brooklyn Nets," $1,669,178.00 "
417,Tony Snell, SF,New Orleans Pelicans," $1,669,178.00 "
418,Jabari Parker, PF,Boston Celtics," $1,669,178.00 "
419,Enes Freedom, C,Boston Celtics," $1,669,178.00 "
420,Blake Griffin, PF,Brooklyn Nets," $1,669,178.00 "
421,Nick Richards, C,Charlotte Hornets," $1,517,981.00 "
422,Tyrell Terry, PG,Memphis Grizzlies," $1,517,981.00 "
423,Xavier Tillman, F,Memphis Grizzlies," $1,517,981.00 "
424,Daniel Oturu, C,Toronto Raptors," $1,517,981.00 "
425,Vernon Carey Jr., C,Washington Wizards," $1,517,981.00 "
426,Caleb Homesley, SG,Washington Wizards," $1,517,981.00 "
427,Anthony Gill, PF,Washington Wizards," $1,517,981.00 "
428,Robert Woodard II, F,Sacramento Kings," $1,517,981.00 "
429,Isaiah Joe, SG,Philadelphia 76ers," $1,517,981.00 "
430,Tre Jones, PG,San Antonio Spurs," $1,517,981.00 "
431,Jahmi'us Ramsey, SG,Sacramento Kings," $1,517,981.00 "
432,Elijah Hughes, F,Portland Trail Blazers," $1,517,981.00 "
433,Paul Reed, SF,Philadelphia 76ers," $1,517,981.00 "
434,CJ Elleby, SG,Portland Trail Blazers," $1,517,981.00 "
435,Elijah Bryant, SG,Milwaukee Bucks," $1,517,981.00 "
436,Deividas Sirvydis, F,Detroit Pistons," $1,517,981.00 "
437,Jordan Nwora, SF,Milwaukee Bucks," $1,517,981.00 "
438,Kenyon Martin Jr., F,Houston Rockets," $1,517,981.00 "
439,Jae'Sean Tate, SF,Houston Rockets," $1,517,981.00 "
440,Sam Merrill, SG,Memphis Grizzlies," $1,517,981.00 "
441,Lamar Stevens, F,Cleveland Cavaliers," $1,517,981.00 "
442,Mamadi Diakite, F,Oklahoma City Thunder," $1,517,981.00 "
443,Naji Marshall, SF,New Orleans Pelicans," $1,517,981.00 "
444,Isaiah Todd, PF,Washington Wizards," $1,500,000.00 "
445,Saben Lee, G,Detroit Pistons," $1,489,065.00 "
446,Omer Yurtseven, C,Miami Heat," $1,489,065.00 "
447,JT Thor, F,Charlotte Hornets," $1,250,000.00 "
448,Wesley Matthews, SG,Milwaukee Bucks," $1,237,494.00 "
449,Alfonzo McKinnie, F,Chicago Bulls," $1,090,007.00 "
450,Jason Preston, PG,LA Clippers," $1,062,303.00 "
451,Isaiah Livers, PF,Detroit Pistons," $1,057,260.00 "
452,Tristan Thompson, C,Chicago Bulls," $1,000,000.00 "
453,Marquese Chriss, SF,Dallas Mavericks," $958,529.00 "
454,Duane Washington Jr., PG,Indiana Pacers," $950,000.00 "
455,Dalano Banton, PG,Toronto Raptors," $925,258.00 "
456,Georgios Kalaitzakis, SF,Oklahoma City Thunder," $925,258.00 "
457,Jared Butler, SG,Utah Jazz," $925,258.00 "
458,Charles Bassey, C,Philadelphia 76ers," $925,258.00 "
459,Greg Brown III, PF,Portland Trail Blazers," $925,258.00 "
460,Jock Landale, C,San Antonio Spurs," $925,258.00 "
461,Miles McBride, PG,New York Knicks," $925,258.00 "
462,Luka Garza, C,Detroit Pistons," $925,258.00 "
463,Austin Reaves, SG,Los Angeles Lakers," $925,258.00 "
464,Brandon Boston Jr., SG,LA Clippers," $925,258.00 "
465,Marko Simonovic, C,Chicago Bulls," $925,258.00 "
466,Ayo Dosunmu, SG,Chicago Bulls," $925,258.00 "
467,Vit Krejci, G,Oklahoma City Thunder," $925,258.00 "
